resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon,
"Cloudmont, AL",Alabama,1800,1650,150,2,2,10,0.5,5,0.5,5,,0,33.39849,-86.08237,7
"Alyeska, AK",Alaska,3939,250,2500,9,73,1500,0.11,165,0.52,780,0.37,555,60.97,-149.11,325
"Arctic Valley, AK",Alaska,3900,2500,1400,4,25,320,0.2,64,0.5,160,0.3,96,61.23178,-149.66816,236
"Eaglecrest, AK",Alaska,2600,1200,1540,4,31,640,0.2,128,0.4,256,0.4,256,61.5,-145.1794968,250
"Hilltop, AK",Alaska,894,600,294,3,10,30,0.8,24,0.1,3,0.1,3,61.61648,-149.11665,49
"Moose Mountain, AK",Alaska,1987,680,1307,14,35,200,0.15,30,0.65,130,0.2,40,64.92,-147.94,231
"Mt. Aurora, AK",Alaska,,,1050,3,,100,0.2,20,0.4,40,0.4,40,63.52,-146.54,207
"Arizona Snowball, AZ",Arizona ,11500,9200,2300,6,40,777,0.37,287.49,0.42,326.34,0.21,163.17,35.32993,-111.70552,318
"Elk Ridge, AZ",Arizona ,8150,7500,600,2,12,37,0.3,11.1,0.5,18.5,0.2,7.4,35.1,-112.23,133
"Mt. Lemmon, AZ",Arizona ,9150,8200,950,3,21,200,0.2,40,0.38,76,0.42,84,32.45,-110.76,184
"Sunrise Park, AZ",Arizona ,1100,9200,1800,8,65,800,0.4,320,0.4,320,0.2,160,34.02,-109.53,278
"Alpine Meadows, CA",California,8673,6385,2288,13,100,2400,0.25,600,0.4,960,0.35,840,39.17,-120.22,316
"Dodge Ridge, CA",California,8200,6600,1600,12,67,852,0.2,170.4,0.4,340.8,0.4,340.8,39,-120.329422,255
"Donner Ski Ranch, CA",California,7781,7031,750,8,53,503,0.25,125.75,0.5,251.5,0.25,125.75,39.31879,-120.32924,166
"Heavenly, CA",California,10067,6540,3527,29,97,4800,0.2,960,0.45,2160,0.35,1680,39.25,-120.25,355
"Homewood, CA",California,7800,6230,1570,8,64,1260,0.15,189,0.5,630,0.35,441,33.86425,-117.98857,252
"Kirkwood, CA",California,9800,7800,2000,15,81,2300,0.15,345,0.5,1150,0.35,805,39.18,-120.27,285
"Mount Rose, CA",California,9700,7900,1800,6,43,1200,0.2,240,0.3,360,0.5,600,39.52009,-119.81405,273
"Northstar, CA",California,8610,6800,1810,20,17,3170,0.13,412.1,0.6,1902,0.27,855.9,38.58,-121.75,279
